n_isr_retained,n_datasets,dataset_fraction
0,15,0.5357142857142857
1,4,0.14285714285714285
2,1,0.03571428571428571
3,3,0.10714285714285714
4,1,0.03571428571428571
7,2,0.07142857142857142
9,2,0.07142857142857142
